SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O	370.489	4.1852	2	4	0	160.964	-5.076	1.184	99.342	-3.487	No	Yes	Yes	0.094	0.044	0.069	-1.833	No	Yes	No	No	No	No	Yes	0.585	No	No	-0.707	No	No	1.941	1.489	No	No	0.813	0.541
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O	426.492	3.08132	4	7	1	179.034	-2.922	1.317	93.654	-2.764	Yes	Yes	Yes	1.159	0.294	-0.229	-2.933	Yes	Yes	No	No	No	No	Yes	0.791	Yes	No	-0.156	No	Yes	2.906	0.174	Yes	No	0.288	0.258
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12	288.431	3.8792	0	2	1	127.551	-4.535	1.666	96.839	-3.05	No	Yes	No	0.413	0.193	0.253	-2.18	No	Yes	No	No	No	No	No	0.936	Yes	No	-0.461	No	Yes	2.357	1.721	No	No	0.922	0.812
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1	301.729	4.3363	3	3	1	125.538	-4.395	0.576	95.624	-2.726	No	No	No	-0.813	0.061	0.114	-1.907	No	Yes	No	No	No	No	No	-0.047	No	No	0.757	No	No	2.689	1.201	Yes	No	0.498	-0.754
C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1	409.574	4.34368	3	5	1	179.392	-5.175	0.806	97.787	-3.234	Yes	Yes	Yes	0.11	0	0.139	-1.805	No	Yes	No	Yes	Yes	No	Yes	0.415	No	No	-0.76	No	No	3.277	1.387	No	No	0.517	0.45
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O	350.436	3.2934	2	4	1	141.906	-3.388	1.181	94.359	-2.735	No	No	No	-0.61	0.164	-0.03	-2.045	No	No	No	No	No	No	No	0.837	No	No	-0.302	No	No	2.597	2.387	No	No	0.285	0.46
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	421.305	4.7112	4	4	1	166.438	-4.947	1.044	95.003	-2.798	No	Yes	Yes	-0.099	0.117	-0.681	-1.999	No	Yes	Yes	Yes	Yes	No	Yes	0.116	No	No	0.36	No	Yes	2.896	1.249	Yes	No	0.413	-1.371
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	426.488	4.8266	8	6	0	180.458	-4.606	1.306	94.384	-2.754	No	Yes	Yes	0.912	0.119	-0.397	-2.274	Yes	Yes	No	No	No	No	Yes	0.995	Yes	No	0.275	No	Yes	2.867	1.033	Yes	No	0.318	-0.927
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	375.871	4.4256	6	3	1	157.952	-3.865	1.522	91.12	-2.84	Yes	Yes	Yes	1.152	0.156	0.062	-1.125	Yes	Yes	Yes	No	No	Yes	Yes	1.107	Yes	No	-0.473	Yes	Yes	2.948	1.136	Yes	No	0.84	0.527
C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F	414.741	4.3124	5	6	2	153.953	-6.241	0.737	87.615	-3.13	No	No	No	-0.651	0.346	-1.668	-3.155	No	No	Yes	Yes	No	No	No	0.209	No	No	0.266	No	No	2.728	-0.135	Yes	No	0.343	2.252
