id,name,smiles,mw,logp,tpsa,hbd,hba,rotbonds,status,reason,pdbqt
CHEMBL918,PHENACEMIDE,NC(=O)NC(=O)Cc1ccccc1,178.07,0.42,72.2,2,2,2,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL918.pdbqt
CHEMBL919,FOSPHENYTOIN SODIUM,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,362.07,1.55,116.2,3,4,5,FAIL,TPSA=116.2,
CHEMBL54349,ALPIDEM,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,403.12,5.5,37.6,0,2,7,FAIL,LogP=5.5,
CHEMBL922,ADEFOVIR DIPIVOXIL,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,501.2,2.7,167.0,1,12,11,FAIL,MW=501.2; TPSA=167.0; HBA=12; RotB=11,
CHEMBL161,CEFTRIAXONE,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,554.05,-1.2,215.2,4,14,8,FAIL,MW=554.05; LogP=-1.2; TPSA=215.2; HBD=4; HBA=14,
CHEMBL923,RISEDRONIC ACID,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,283.0,-0.37,148.2,5,4,4,FAIL,TPSA=148.2; HBD=5,
CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,272.0,-1.12,153.1,5,4,4,FAIL,LogP=-1.12; TPSA=153.1; HBD=5,
CHEMBL264241,ANIDULAFUNGIN,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,1139.51,-0.93,377.4,14,17,14,FAIL,MW=1139.51; LogP=-0.93; TPSA=377.4; HBD=14; HBA=17; RotB=14,
CHEMBL925,TYROSINE,N[C@@H](Cc1ccc(O)cc1)C(=O)O,181.07,0.35,83.5,3,3,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL925.pdbqt
CHEMBL926,DOBUTAMINE,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,301.17,2.96,72.7,4,4,7,FAIL,HBD=4,
CHEMBL56021,LEVACETYLLEUCINE,CC(=O)N[C@@H](CC(C)C)C(=O)O,173.11,0.62,66.4,2,2,4,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL56021.pdbqt
CHEMBL927,CEFDINIR,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,395.04,-0.17,158.2,4,9,5,FAIL,TPSA=158.2; HBD=4; HBA=9,
CHEMBL54976,TRYPTOPHAN,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.09,1.12,79.1,3,2,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL54976.pdbqt
CHEMBL928,DANTROLENE SODIUM,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,314.07,1.74,118.1,1,6,4,FAIL,TPSA=118.1,
CHEMBL298734,LONAFARNIB,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,636.05,5.91,79.5,1,3,3,FAIL,MW=636.05; LogP=5.91,
CHEMBL929,DELAVIRDINE MESYLATE,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,456.19,2.72,110.4,3,6,6,FAIL,MW=456.19; TPSA=110.4,
CHEMBL930,GLUTAMINE,NC(=O)CC[C@H](N)C(=O)O,146.07,-1.34,106.4,3,3,4,FAIL,MW=146.07; LogP=-1.34; TPSA=106.4,
