system,site,persistence,n_frames,mean_score,mean_drugg,mean_volume,cx,cy,cz,tier,nearest_prod_dist,classification
S2_BIN1_SH3,7,0.0349,14,0.1696,0.0105,299.8,34.14,24.33,41.81,Noise,6.4,canonical
S2_BIN1_SH3,189,0.0349,14,0.1613,0.0169,387.3,29.15,20.21,23.97,Noise,5.0,canonical
S2_BIN1_SH3,40,0.0349,14,0.1327,0.0401,323.8,21.9,38.26,39.13,Noise,6.6,canonical
S2_BIN1_SH3,56,0.0349,14,0.0916,0.0117,273.1,28.63,18.23,39.44,Noise,8.3,canonical
S2_BIN1_SH3,81,0.0324,13,0.1552,0.0242,343.5,16.48,33.15,33.56,Noise,5.4,canonical
S2_BIN1_SH3,133,0.0324,13,0.0958,0.1198,300.3,42.92,31.2,30.36,Noise,6.1,canonical
S2_BIN1_SH3,136,0.0324,13,0.0479,0.1064,303.3,33.84,27.19,23.33,Noise,4.0,canonical
S2_BIN1_SH3,156,0.0324,13,0.0995,0.0261,327.1,15.53,28.91,26.15,Noise,8.0,canonical
S2_BIN1_SH3,182,0.0324,13,0.0995,0.0115,292.1,33.24,25.25,18.27,Noise,5.5,canonical
S2_BIN1_SH3,59,0.0324,13,0.1258,0.0411,327.4,20.4,21.36,34.39,Noise,6.2,canonical
S2_BIN1_SH3,98,0.0324,13,0.1006,0.0696,284.4,27.81,43.48,26.72,Noise,6.5,canonical
S2_BIN1_SH3,19,0.0324,13,0.0802,0.1762,458.8,38.47,33.9,40.33,Noise,5.0,canonical
S2_BIN1_SH3,95,0.0299,12,0.0992,0.1342,390.2,32.49,40.55,26.26,Noise,4.1,canonical
S2_BIN1_SH3,87,0.0299,12,0.146,0.0641,308.5,20.5,31.64,25.59,Noise,4.7,canonical
S2_BIN1_SH3,4,0.0299,12,0.0915,0.004,248.3,42.07,28.05,38.51,Noise,6.9,canonical
S2_BIN1_SH3,127,0.0274,11,0.0749,0.0402,296.1,39.39,40.23,21.37,Noise,8.2,canonical
S2_BIN1_SH3,21,0.0274,11,0.0958,0.1917,377.6,39.95,36.15,35.32,Noise,3.4,canonical
S2_BIN1_SH3,38,0.0274,11,0.1415,0.0079,314.8,26.29,34.56,43.62,Noise,7.8,canonical
S2_BIN1_SH3,31,0.0274,11,0.0715,0.0353,387.9,30.48,42.78,40.22,Noise,8.1,canonical
S2_BIN1_SH3,58,0.0274,11,0.1471,0.0313,320.2,22.79,21.59,37.34,Noise,4.6,canonical
S2_BIN1_SH3,67,0.0274,11,0.176,0.0385,414.7,24.89,30.36,42.38,Noise,5.7,canonical
S2_BIN1_SH3,70,0.0274,11,0.1115,0.0511,459.6,27.74,31.58,40.05,Noise,3.8,canonical
S2_BIN1_SH3,113,0.0274,11,0.0514,0.0679,308.8,21.07,37.22,21.81,Noise,6.2,canonical
S2_BIN1_SH3,126,0.0274,11,0.1063,0.0113,379.0,40.48,33.87,23.92,Noise,2.8,canonical
S2_BIN1_SH3,122,0.0249,10,0.1484,0.1616,313.9,33.71,37.99,18.1,Noise,8.2,canonical
S2_BIN1_SH3,25,0.0249,10,0.123,0.0465,298.9,33.43,41.8,43.66,Noise,8.3,canonical
S2_BIN1_SH3,150,0.0249,10,0.1614,0.0194,303.0,38.17,28.22,19.31,Noise,7.2,canonical
S2_BIN1_SH3,42,0.0249,10,0.1248,0.0878,342.4,27.12,28.53,35.94,Noise,3.9,canonical
S2_BIN1_SH3,158,0.0249,10,0.1268,0.0127,315.7,19.29,29.02,19.42,Noise,7.9,canonical
S2_BIN1_SH3,130,0.0224,9,0.0772,0.0138,354.4,39.76,40.2,32.83,Noise,5.8,canonical
S2_BIN1_SH3,24,0.0224,9,0.102,0.0049,263.2,43.62,36.94,40.79,Noise,9.9,canonical
S2_BIN1_SH3,41,0.0224,9,0.2169,0.1338,340.9,27.08,30.8,32.3,Noise,5.6,canonical
S2_BIN1_SH3,177,0.0224,9,0.1611,0.0667,318.6,26.31,18.12,24.37,Noise,7.9,canonical
S2_BIN1_SH3,6,0.0224,9,0.0427,0.0359,318.3,35.8,27.16,40.45,Noise,6.4,canonical
S2_BIN1_SH3,2,0.0224,9,0.0888,0.0384,258.7,34.54,20.82,39.34,Noise,4.6,canonical
S2_BIN1_SH3,143,0.02,8,0.1275,0.0052,278.8,41.01,21.45,32.54,Noise,5.0,canonical
S2_BIN1_SH3,102,0.02,8,0.0468,0.0578,402.8,39.98,47.55,32.02,Noise,11.8,CRYPTIC
S2_BIN1_SH3,39,0.02,8,0.0233,0.0025,336.0,22.94,41.4,42.68,Noise,9.4,canonical
S2_BIN1_SH3,103,0.02,8,0.0611,0.0874,315.4,33.67,46.61,27.66,Noise,8.5,canonical
S2_BIN1_SH3,53,0.02,8,0.1761,0.062,287.7,22.71,43.55,38.08,Noise,8.8,canonical
S2_BIN1_SH3,54,0.0175,7,0.0616,0.0016,235.1,22.84,43.64,32.39,Noise,9.0,canonical
S2_BIN1_SH3,111,0.0175,7,0.1353,0.211,425.6,20.42,34.71,16.05,Noise,9.4,canonical
S2_BIN1_SH3,44,0.0175,7,0.0257,0.0916,304.5,32.44,32.42,31.76,Noise,6.3,canonical
S2_BIN1_SH3,90,0.0175,7,0.173,0.041,284.6,19.32,43.79,27.82,Noise,9.0,canonical
S2_BIN1_SH3,97,0.0175,7,0.097,0.0049,334.1,30.96,42.49,20.39,Noise,8.7,canonical
S2_BIN1_SH3,96,0.0175,7,-0.047,0.0389,680.7,33.24,44.46,23.79,Noise,8.1,canonical
S2_BIN1_SH3,115,0.0175,7,0.0884,0.0413,281.2,26.05,42.03,19.32,Noise,8.4,canonical
S2_BIN1_SH3,89,0.015,6,0.0633,0.0755,312.7,26.26,49.09,31.61,Noise,10.4,CRYPTIC
S2_BIN1_SH3,73,0.015,6,0.0635,0.0148,321.0,9.78,30.01,34.08,Noise,12.2,CRYPTIC
S2_BIN1_SH3,171,0.015,6,0.0537,0.0069,309.7,40.02,16.77,27.61,Noise,9.0,canonical
S2_BIN1_SH3,159,0.015,6,0.1712,0.0212,329.0,20.53,25.17,17.93,Noise,10.2,CRYPTIC
S2_BIN1_SH3,104,0.015,6,0.1793,0.1325,373.8,31.3,49.48,28.87,Noise,10.2,CRYPTIC
S2_BIN1_SH3,82,0.015,6,0.1597,0.0877,455.4,15.28,37.79,29.75,Noise,9.1,canonical
S2_BIN1_SH3,181,0.015,6,0.1468,0.0327,324.4,30.36,20.97,17.1,Noise,7.2,canonical
S2_BIN1_SH3,125,0.015,6,0.1545,0.0542,364.7,43.61,37.39,24.08,Noise,7.2,canonical
S2_BIN1_SH3,117,0.015,6,0.1245,0.0907,348.3,38.63,33.07,17.52,Noise,7.6,canonical
S2_BIN1_SH3,91,0.0125,5,0.1,0.001,312.8,22.72,46.45,26.1,Noise,9.4,canonical
S2_BIN1_SH3,75,0.0125,5,0.1062,0.0034,241.2,14.27,37.93,38.89,Noise,11.1,CRYPTIC
S2_BIN1_SH3,72,0.0125,5,0.0722,0.0026,326.7,16.45,27.63,41.45,Noise,10.5,CRYPTIC
S2_BIN1_SH3,80,0.0125,5,0.144,0.016,297.9,15.25,28.29,34.42,Noise,7.8,canonical
S2_BIN1_SH3,149,0.0125,5,0.0186,0.092,231.2,43.21,28.55,20.45,Noise,7.9,canonical
S2_BIN1_SH3,120,0.0125,5,0.0564,0.0496,292.3,31.59,30.63,13.31,Noise,7.8,canonical
S2_BIN1_SH3,15,0.0125,5,0.1432,0.019,281.1,41.19,43.7,39.32,Noise,11.5,CRYPTIC
S2_BIN1_SH3,160,0.01,4,0.0468,0.0982,243.7,23.53,27.45,12.56,Noise,12.0,CRYPTIC
S2_BIN1_SH3,84,0.01,4,0.1122,0.021,339.2,11.28,32.2,29.83,Noise,10.9,CRYPTIC
S2_BIN1_SH3,1,0.01,4,0.221,0.021,347.4,40.13,18.5,35.53,Noise,7.2,canonical
S2_BIN1_SH3,121,0.01,4,0.1425,0.0028,206.3,37.05,41.1,13.82,Noise,13.5,CRYPTIC
S2_BIN1_SH3,124,0.01,4,0.0798,0.039,519.5,29.95,36.25,12.32,Noise,10.5,CRYPTIC
S2_BIN1_SH3,0,0.01,4,0.07,0.0008,251.0,36.66,16.38,32.94,Noise,7.0,canonical
S2_BIN1_SH3,37,0.0075,3,0.118,0.0087,267.7,23.73,36.7,46.92,Noise,11.4,CRYPTIC
S2_BIN1_SH3,13,0.0075,3,0.118,0.0013,263.5,27.53,47.69,43.58,Noise,13.5,CRYPTIC
S2_BIN1_SH3,30,0.0075,3,0.103,0.0113,211.8,36.2,30.41,44.38,Noise,7.1,canonical
S2_BIN1_SH3,55,0.0075,3,0.179,0.0557,314.8,30.15,22.2,46.8,Noise,9.3,canonical
S2_BIN1_SH3,153,0.0075,3,0.0917,0.0003,240.7,14.28,21.66,24.54,Noise,10.5,CRYPTIC
S2_BIN1_SH3,112,0.0075,3,0.0657,0.0003,334.9,23.47,47.72,18.42,Noise,13.1,CRYPTIC
S2_BIN1_SH3,110,0.0075,3,-0.0247,0.0637,469.2,18.49,39.62,15.26,Noise,13.0,CRYPTIC
S2_BIN1_SH3,147,0.0075,3,0.1097,0.0037,262.6,43.96,22.39,26.22,Noise,8.3,canonical
S2_BIN1_SH3,118,0.0075,3,0.1263,0.0013,359.0,37.21,32.23,12.83,Noise,10.3,CRYPTIC
S2_BIN1_SH3,57,0.0075,3,0.3287,0.002,351.2,21.79,16.72,34.69,Noise,7.6,canonical
S2_BIN1_SH3,74,0.0075,3,0.215,0.0927,337.1,9.83,29.31,40.17,Noise,14.2,CRYPTIC
S2_BIN1_SH3,101,0.005,2,0.1325,0.005,378.5,40.88,46.74,25.66,Noise,12.3,CRYPTIC
S2_BIN1_SH3,105,0.005,2,0.059,0.0065,301.6,31.03,49.34,21.03,Noise,13.9,CRYPTIC
S2_BIN1_SH3,8,0.005,2,0.1355,0.0005,208.4,37.25,15.22,51.25,Noise,18.0,CRYPTIC
S2_BIN1_SH3,178,0.005,2,0.0215,0.0,341.5,29.08,12.69,31.09,Noise,9.8,canonical
S2_BIN1_SH3,108,0.005,2,0.1075,0.0,316.3,14.74,38.87,19.3,Noise,12.8,CRYPTIC
S2_BIN1_SH3,12,0.005,2,-0.019,0.1987,282.2,36.58,52.73,40.53,Noise,16.3,CRYPTIC
S2_BIN1_SH3,109,0.005,2,0.1535,0.389,295.5,24.14,34.43,11.13,Noise,12.8,CRYPTIC
S2_BIN1_SH3,14,0.005,2,0.093,0.0005,287.5,48.24,34.91,47.63,Noise,16.8,CRYPTIC
S2_BIN1_SH3,146,0.005,2,0.2175,0.337,331.2,43.23,23.38,21.38,Noise,9.5,canonical
S2_BIN1_SH3,170,0.005,2,-0.014,0.001,347.4,32.85,13.99,24.81,Noise,11.0,CRYPTIC
S2_BIN1_SH3,169,0.005,2,0.1635,0.0025,330.8,36.29,15.98,20.52,Noise,10.6,CRYPTIC
S2_BIN1_SH3,184,0.005,2,0.106,0.022,221.0,23.45,20.89,14.92,Noise,11.6,CRYPTIC
S2_BIN1_SH3,83,0.005,2,0.137,0.111,552.5,13.24,34.96,25.11,Noise,11.9,CRYPTIC
S2_BIN1_SH3,123,0.005,2,0.034,0.0,279.1,28.44,43.97,12.51,Noise,15.6,CRYPTIC
S2_BIN1_SH3,28,0.005,2,0.278,0.0005,231.6,30.65,33.2,46.27,Noise,7.7,canonical
S2_BIN1_SH3,29,0.005,2,0.0705,0.342,285.9,37.49,35.83,47.97,Noise,9.5,canonical
S2_BIN1_SH3,107,0.0025,1,0.016,0.0,221.8,35.58,54.79,28.53,Noise,16.0,CRYPTIC
S2_BIN1_SH3,185,0.0025,1,0.109,0.002,325.0,21.16,13.55,20.43,Noise,14.6,CRYPTIC
S2_BIN1_SH3,106,0.0025,1,0.092,0.0,343.4,36.68,52.86,19.54,Noise,17.7,CRYPTIC
S2_BIN1_SH3,9,0.0025,1,0.275,0.0,588.1,35.77,19.92,46.58,Noise,11.9,CRYPTIC
S2_BIN1_SH3,16,0.0025,1,0.074,0.001,304.0,42.11,45.69,46.58,Noise,15.7,CRYPTIC
S2_BIN1_SH3,10,0.0025,1,-0.097,0.0,230.8,50.02,15.95,39.02,Noise,16.0,CRYPTIC
S2_BIN1_SH3,11,0.0025,1,-0.079,0.0,281.3,44.99,13.53,48.39,Noise,19.4,CRYPTIC
S2_BIN1_SH3,17,0.0025,1,0.234,0.0,280.7,50.08,45.53,38.33,Noise,17.0,CRYPTIC
S2_BIN1_SH3,128,0.0025,1,0.205,0.001,329.4,45.02,41.95,17.84,Noise,13.6,CRYPTIC
S2_BIN1_SH3,161,0.0025,1,0.115,0.0,226.5,16.38,27.76,12.05,Noise,15.3,CRYPTIC
S2_BIN1_SH3,77,0.0025,1,0.195,0.0,346.1,14.5,44.42,36.94,Noise,14.7,CRYPTIC
S2_BIN1_SH3,76,0.0025,1,0.028,0.0,209.4,8.34,38.03,37.05,Noise,15.2,CRYPTIC
S2_BIN1_SH3,92,0.0025,1,0.073,0.0,223.9,18.08,51.42,24.32,Noise,15.9,CRYPTIC
