system,site,persistence,n_frames,mean_score,mean_drugg,mean_volume,cx,cy,cz,tier,nearest_prod_dist,classification
S5_CD2AP_SH3-1,6,0.0477,19,0.1641,0.1516,413.3,20.02,32.59,30.58,Noise,5.2,canonical
S5_CD2AP_SH3-1,75,0.0452,18,0.0818,0.0632,382.1,28.58,35.21,20.33,Noise,6.6,canonical
S5_CD2AP_SH3-1,1,0.0452,18,0.1648,0.1083,329.5,23.42,41.82,25.15,Noise,11.3,CRYPTIC
S5_CD2AP_SH3-1,107,0.0452,18,0.1531,0.1801,334.0,38.17,21.3,25.98,Noise,8.4,canonical
S5_CD2AP_SH3-1,203,0.0427,17,0.0648,0.1162,331.9,33.67,35.75,23.77,Noise,5.4,canonical
S5_CD2AP_SH3-1,171,0.0427,17,0.1606,0.1114,326.3,28.96,22.75,35.97,Noise,4.0,canonical
S5_CD2AP_SH3-1,145,0.0402,16,0.1405,0.0901,318.8,31.68,28.01,39.43,Noise,5.8,canonical
S5_CD2AP_SH3-1,78,0.0402,16,0.1424,0.0197,351.1,24.85,30.03,17.04,Noise,5.2,canonical
S5_CD2AP_SH3-1,0,0.0402,16,0.2089,0.0767,307.6,20.21,37.65,23.32,Noise,7.9,canonical
S5_CD2AP_SH3-1,198,0.0402,16,0.1341,0.1172,359.1,37.59,31.99,33.03,Noise,1.7,canonical
S5_CD2AP_SH3-1,2,0.0402,16,0.1397,0.0632,394.7,24.55,39.36,31.54,Noise,9.0,canonical
S5_CD2AP_SH3-1,4,0.0402,16,0.1879,0.0475,395.4,18.57,36.63,30.28,Noise,7.6,canonical
S5_CD2AP_SH3-1,18,0.0377,15,0.1284,0.0497,300.8,22.68,30.9,40.16,Noise,7.4,canonical
S5_CD2AP_SH3-1,81,0.0377,15,0.1185,0.0259,337.7,27.63,23.07,21.12,Noise,5.9,canonical
S5_CD2AP_SH3-1,112,0.0377,15,0.1235,0.0933,283.4,26.24,19.13,32.69,Noise,4.3,canonical
S5_CD2AP_SH3-1,194,0.0377,15,0.1327,0.0815,373.8,32.56,37.57,30.82,Noise,2.0,canonical
S5_CD2AP_SH3-1,195,0.0377,15,0.2082,0.0746,371.3,34.36,37.6,28.0,Noise,2.2,canonical
S5_CD2AP_SH3-1,92,0.0377,15,0.2305,0.1062,361.0,22.33,21.73,31.96,Noise,5.2,canonical
S5_CD2AP_SH3-1,159,0.0352,14,0.1473,0.0879,286.8,31.66,19.43,32.6,Noise,6.7,canonical
S5_CD2AP_SH3-1,156,0.0352,14,0.1447,0.048,325.8,36.25,23.01,37.49,Noise,9.8,canonical
S5_CD2AP_SH3-1,97,0.0352,14,0.2014,0.1198,275.3,21.58,28.14,21.58,Noise,5.7,canonical
S5_CD2AP_SH3-1,196,0.0352,14,0.0964,0.0661,283.1,35.56,39.56,33.22,Noise,5.8,canonical
S5_CD2AP_SH3-1,111,0.0327,13,0.1981,0.1495,382.3,25.05,19.47,26.67,Noise,2.7,canonical
S5_CD2AP_SH3-1,28,0.0327,13,0.1527,0.1171,296.4,26.96,40.77,17.7,Noise,12.5,CRYPTIC
S5_CD2AP_SH3-1,172,0.0327,13,0.1602,0.0542,331.2,22.65,20.17,36.94,Noise,7.4,canonical
S5_CD2AP_SH3-1,74,0.0327,13,0.1866,0.1758,327.4,24.49,35.65,21.79,Noise,8.6,canonical
S5_CD2AP_SH3-1,162,0.0327,13,0.1322,0.0648,311.1,34.13,22.59,30.09,Noise,8.1,canonical
S5_CD2AP_SH3-1,190,0.0302,12,0.0795,0.0484,286.0,39.9,33.86,26.97,Noise,5.7,canonical
S5_CD2AP_SH3-1,141,0.0302,12,0.121,0.0254,326.8,27.64,35.82,38.67,Noise,9.9,canonical
S5_CD2AP_SH3-1,84,0.0302,12,0.176,0.0351,337.4,34.48,25.95,18.24,Noise,6.3,canonical
S5_CD2AP_SH3-1,5,0.0302,12,0.1608,0.0182,303.6,22.06,35.46,34.08,Noise,10.1,CRYPTIC
S5_CD2AP_SH3-1,191,0.0302,12,0.1992,0.0242,298.2,28.36,41.53,30.18,Noise,6.7,canonical
S5_CD2AP_SH3-1,76,0.0302,12,0.2181,0.1302,334.1,28.97,27.98,17.97,Noise,2.0,canonical
S5_CD2AP_SH3-1,148,0.0302,12,0.1422,0.0808,308.8,34.12,32.82,36.72,Noise,3.7,canonical
S5_CD2AP_SH3-1,93,0.0276,11,0.0979,0.168,434.4,22.23,25.59,32.99,Noise,6.0,canonical
S5_CD2AP_SH3-1,94,0.0276,11,0.1995,0.1596,384.8,18.12,24.85,31.14,Noise,7.5,canonical
S5_CD2AP_SH3-1,27,0.0276,11,0.2415,0.0662,359.4,22.29,39.06,16.05,Noise,13.0,CRYPTIC
S5_CD2AP_SH3-1,142,0.0276,11,0.2161,0.0194,344.6,30.2,31.63,38.92,Noise,6.7,canonical
S5_CD2AP_SH3-1,169,0.0276,11,0.1293,0.1871,373.8,25.02,27.69,37.53,Noise,2.7,canonical
S5_CD2AP_SH3-1,89,0.0251,10,0.156,0.0749,336.8,21.05,24.06,17.87,Noise,9.4,canonical
S5_CD2AP_SH3-1,157,0.0251,10,0.1879,0.1028,451.2,38.64,27.05,36.13,Noise,6.3,canonical
S5_CD2AP_SH3-1,161,0.0251,10,0.2069,0.0573,491.0,30.17,21.96,27.35,Noise,4.2,canonical
S5_CD2AP_SH3-1,88,0.0251,10,0.171,0.1004,239.0,21.66,18.44,21.39,Noise,9.0,canonical
S5_CD2AP_SH3-1,140,0.0251,10,0.1226,0.1156,346.1,32.12,35.73,34.94,Noise,5.6,canonical
S5_CD2AP_SH3-1,66,0.0251,10,0.213,0.0544,245.7,23.06,21.51,13.07,Noise,11.5,CRYPTIC
S5_CD2AP_SH3-1,158,0.0226,9,0.113,0.0702,302.9,35.33,17.34,29.75,Noise,9.7,canonical
S5_CD2AP_SH3-1,155,0.0226,9,0.1496,0.04,291.9,38.03,22.4,33.02,Noise,10.6,CRYPTIC
S5_CD2AP_SH3-1,202,0.0226,9,0.09,0.0013,315.3,34.97,38.46,20.14,Noise,9.4,canonical
S5_CD2AP_SH3-1,184,0.0226,9,0.1203,0.0897,300.3,38.75,31.66,18.81,Noise,6.1,canonical
S5_CD2AP_SH3-1,189,0.0226,9,0.1616,0.0157,366.8,37.36,32.16,23.55,Noise,2.8,canonical
S5_CD2AP_SH3-1,108,0.0226,9,0.1617,0.1574,247.5,29.83,16.04,25.94,Noise,6.5,canonical
S5_CD2AP_SH3-1,139,0.0226,9,0.2953,0.1677,290.6,28.37,38.75,42.54,Noise,13.3,CRYPTIC
S5_CD2AP_SH3-1,47,0.0226,9,0.2308,0.2078,347.0,15.63,25.13,14.62,Noise,12.9,CRYPTIC
S5_CD2AP_SH3-1,109,0.0226,9,0.143,0.0463,238.8,26.87,16.14,21.85,Noise,8.3,canonical
S5_CD2AP_SH3-1,80,0.0201,8,0.2071,0.202,365.8,28.78,22.02,17.93,Noise,6.9,canonical
S5_CD2AP_SH3-1,136,0.0201,8,0.1912,0.0109,275.3,33.28,43.11,46.24,Noise,16.2,CRYPTIC
S5_CD2AP_SH3-1,135,0.0201,8,0.2019,0.1204,380.3,38.69,34.72,48.11,Noise,14.1,CRYPTIC
S5_CD2AP_SH3-1,165,0.0201,8,0.2011,0.1311,282.6,33.43,20.66,41.37,Noise,9.7,canonical
S5_CD2AP_SH3-1,126,0.0201,8,0.2119,0.1218,293.1,37.14,10.9,29.61,Noise,14.7,CRYPTIC
S5_CD2AP_SH3-1,100,0.0201,8,0.1192,0.0122,298.4,20.12,24.67,23.96,Noise,6.2,canonical
S5_CD2AP_SH3-1,115,0.0201,8,0.191,0.1079,306.3,34.85,13.91,24.21,Noise,11.8,CRYPTIC
S5_CD2AP_SH3-1,105,0.0201,8,0.0721,0.1204,297.3,39.23,22.84,19.91,Noise,8.2,canonical
S5_CD2AP_SH3-1,205,0.0201,8,0.1862,0.0421,294.6,28.58,44.61,23.62,Noise,10.5,CRYPTIC
S5_CD2AP_SH3-1,17,0.0201,8,0.1386,0.014,309.6,20.13,33.18,41.28,Noise,10.9,CRYPTIC
S5_CD2AP_SH3-1,21,0.0201,8,0.1628,0.1556,321.3,29.19,45.17,36.04,Noise,11.6,CRYPTIC
S5_CD2AP_SH3-1,77,0.0176,7,0.2233,0.1103,339.1,25.85,31.51,20.49,Noise,4.3,canonical
S5_CD2AP_SH3-1,166,0.0176,7,0.1767,0.0391,275.4,37.17,26.37,44.17,Noise,11.8,CRYPTIC
S5_CD2AP_SH3-1,50,0.0176,7,0.1994,0.0253,299.3,29.03,17.4,38.6,Noise,9.2,canonical
S5_CD2AP_SH3-1,99,0.0176,7,0.1906,0.0567,321.2,19.18,20.04,26.91,Noise,7.4,canonical
S5_CD2AP_SH3-1,91,0.0176,7,0.0697,0.0749,301.9,16.04,28.8,30.28,Noise,5.2,canonical
S5_CD2AP_SH3-1,168,0.0176,7,0.1613,0.0071,250.3,19.69,23.92,39.62,Noise,8.2,canonical
S5_CD2AP_SH3-1,44,0.0176,7,0.1713,0.178,314.4,18.04,32.65,17.1,Noise,9.3,canonical
S5_CD2AP_SH3-1,30,0.0176,7,0.118,0.0426,264.5,19.46,42.7,22.84,Noise,12.8,CRYPTIC
S5_CD2AP_SH3-1,146,0.0176,7,0.1759,0.165,254.6,39.2,32.75,39.89,Noise,6.1,canonical
S5_CD2AP_SH3-1,147,0.0176,7,0.2353,0.1326,394.5,35.33,32.04,40.8,Noise,6.7,canonical
S5_CD2AP_SH3-1,24,0.0151,6,0.1593,0.1793,221.9,25.54,48.89,28.68,Noise,14.2,CRYPTIC
S5_CD2AP_SH3-1,29,0.0151,6,0.1762,0.1747,322.8,22.57,48.1,22.14,Noise,16.8,CRYPTIC
S5_CD2AP_SH3-1,104,0.0151,6,0.1255,0.1013,271.9,40.17,17.36,19.43,Noise,13.4,CRYPTIC
S5_CD2AP_SH3-1,49,0.0151,6,0.2123,0.2317,406.1,29.71,12.19,33.05,Noise,10.2,CRYPTIC
S5_CD2AP_SH3-1,22,0.0151,6,0.0965,0.0233,276.7,19.94,45.12,33.04,Noise,15.9,CRYPTIC
S5_CD2AP_SH3-1,170,0.0151,6,0.1872,0.1548,368.2,25.88,25.91,42.18,Noise,5.7,canonical
S5_CD2AP_SH3-1,121,0.0151,6,0.2622,0.0567,217.3,44.09,11.74,26.78,Noise,19.1,CRYPTIC
S5_CD2AP_SH3-1,35,0.0151,6,0.1648,0.0737,358.3,32.55,37.59,15.77,Noise,10.4,CRYPTIC
S5_CD2AP_SH3-1,32,0.0151,6,0.2558,0.1558,287.7,18.47,42.51,18.3,Noise,14.4,CRYPTIC
S5_CD2AP_SH3-1,52,0.0151,6,0.2623,0.3795,401.8,33.87,11.96,38.24,Noise,15.0,CRYPTIC
S5_CD2AP_SH3-1,34,0.0151,6,0.1763,0.0818,236.8,33.84,32.89,13.58,Noise,9.0,canonical
S5_CD2AP_SH3-1,16,0.0151,6,0.099,0.151,272.0,16.69,30.78,35.28,Noise,9.5,canonical
S5_CD2AP_SH3-1,87,0.0151,6,0.1802,0.2303,418.6,15.64,21.71,17.43,Noise,12.6,CRYPTIC
S5_CD2AP_SH3-1,71,0.0151,6,0.2645,0.1212,292.3,18.2,20.31,8.42,Noise,17.8,CRYPTIC
S5_CD2AP_SH3-1,133,0.0126,5,0.3204,0.0694,333.0,31.4,37.77,54.06,Noise,21.1,CRYPTIC
S5_CD2AP_SH3-1,64,0.0126,5,0.225,0.0552,255.0,25.57,27.7,7.84,Noise,12.6,CRYPTIC
S5_CD2AP_SH3-1,10,0.0126,5,0.3097,0.1523,334.5,10.79,43.58,24.23,Noise,15.5,CRYPTIC
S5_CD2AP_SH3-1,15,0.0126,5,0.2004,0.1878,294.8,17.3,41.71,39.83,Noise,17.9,CRYPTIC
S5_CD2AP_SH3-1,144,0.0126,5,0.1644,0.0184,319.0,33.84,31.57,46.53,Noise,12.7,CRYPTIC
S5_CD2AP_SH3-1,173,0.0126,5,0.1354,0.1874,321.8,17.36,23.99,45.92,Noise,13.6,CRYPTIC
S5_CD2AP_SH3-1,45,0.0126,5,0.2298,0.01,401.6,21.49,30.21,14.05,Noise,9.7,canonical
S5_CD2AP_SH3-1,43,0.0126,5,0.1718,0.2188,289.1,12.63,37.99,20.37,Noise,11.3,CRYPTIC
S5_CD2AP_SH3-1,188,0.0126,5,0.0998,0.099,342.2,43.81,30.13,31.42,Noise,8.0,canonical
S5_CD2AP_SH3-1,53,0.0126,5,0.2523,0.0032,272.9,33.32,7.21,38.8,Noise,18.3,CRYPTIC
S5_CD2AP_SH3-1,68,0.0126,5,0.2448,0.133,207.5,21.23,16.42,14.78,Noise,15.4,CRYPTIC
S5_CD2AP_SH3-1,137,0.0126,5,0.3058,0.2942,354.9,35.18,39.02,45.88,Noise,13.3,CRYPTIC
S5_CD2AP_SH3-1,193,0.0126,5,0.1306,0.0014,274.5,32.46,44.32,27.73,Noise,7.8,canonical
S5_CD2AP_SH3-1,26,0.0101,4,0.269,0.0412,330.1,22.84,54.68,16.42,Noise,24.1,CRYPTIC
S5_CD2AP_SH3-1,131,0.0101,4,0.2602,0.0155,284.2,40.54,25.99,51.01,Noise,18.4,CRYPTIC
S5_CD2AP_SH3-1,12,0.0101,4,0.1727,0.1292,310.6,20.36,38.07,43.25,Noise,15.2,CRYPTIC
S5_CD2AP_SH3-1,48,0.0101,4,0.253,0.016,342.6,27.51,7.4,34.34,Noise,14.6,CRYPTIC
S5_CD2AP_SH3-1,167,0.0101,4,0.3085,0.2092,264.2,39.97,21.82,44.33,Noise,15.2,CRYPTIC
S5_CD2AP_SH3-1,57,0.0101,4,0.2278,0.0408,351.3,10.41,20.11,42.05,Noise,18.5,CRYPTIC
S5_CD2AP_SH3-1,138,0.0101,4,0.3288,0.1523,260.7,26.68,37.52,47.28,Noise,15.6,CRYPTIC
S5_CD2AP_SH3-1,128,0.0101,4,0.2718,0.0595,321.2,41.04,6.76,34.6,Noise,21.2,CRYPTIC
S5_CD2AP_SH3-1,63,0.0101,4,0.0847,0.002,285.4,17.64,13.48,37.59,Noise,14.4,CRYPTIC
S5_CD2AP_SH3-1,14,0.0101,4,0.133,0.072,339.2,19.23,37.37,36.46,Noise,12.6,CRYPTIC
S5_CD2AP_SH3-1,60,0.0101,4,0.1505,0.2052,289.6,15.52,21.42,39.3,Noise,12.7,CRYPTIC
S5_CD2AP_SH3-1,70,0.0101,4,0.188,0.0322,286.3,18.82,14.23,7.26,Noise,21.7,CRYPTIC
S5_CD2AP_SH3-1,31,0.0101,4,0.262,0.1435,288.5,20.34,46.6,19.58,Noise,17.6,CRYPTIC
S5_CD2AP_SH3-1,39,0.0101,4,0.255,0.0214,246.7,17.92,29.61,6.34,Noise,17.5,CRYPTIC
S5_CD2AP_SH3-1,110,0.0101,4,0.2742,0.263,289.0,25.68,12.5,25.86,Noise,8.8,canonical
S5_CD2AP_SH3-1,54,0.0101,4,0.2505,0.0,263.7,28.31,4.2,39.87,Noise,20.1,CRYPTIC
S5_CD2AP_SH3-1,33,0.0101,4,0.0672,0.0245,256.8,30.95,31.08,10.31,Noise,10.1,CRYPTIC
S5_CD2AP_SH3-1,122,0.0101,4,0.1382,0.1056,274.0,39.58,5.71,26.27,Noise,20.2,CRYPTIC
S5_CD2AP_SH3-1,200,0.0075,3,0.1533,0.3117,330.8,36.63,41.46,23.42,Noise,8.4,canonical
S5_CD2AP_SH3-1,7,0.0075,3,0.1653,0.0977,240.4,12.03,38.81,32.02,Noise,12.3,CRYPTIC
S5_CD2AP_SH3-1,187,0.0075,3,0.1083,0.0047,317.6,40.58,39.22,25.78,Noise,8.9,canonical
S5_CD2AP_SH3-1,163,0.0075,3,0.316,0.2257,307.8,31.77,17.57,48.01,Noise,15.0,CRYPTIC
S5_CD2AP_SH3-1,23,0.0075,3,0.216,0.098,288.8,24.61,51.71,34.93,Noise,18.1,CRYPTIC
S5_CD2AP_SH3-1,13,0.0075,3,0.2547,0.117,291.0,14.52,36.67,41.41,Noise,17.0,CRYPTIC
S5_CD2AP_SH3-1,20,0.0075,3,0.1927,0.0577,293.5,25.52,41.74,36.67,Noise,11.7,CRYPTIC
S5_CD2AP_SH3-1,174,0.0075,3,0.2483,0.0,324.0,19.42,33.97,47.23,Noise,15.2,CRYPTIC
S5_CD2AP_SH3-1,176,0.0075,3,0.1797,0.0003,265.1,43.04,43.15,45.73,Noise,16.6,CRYPTIC
S5_CD2AP_SH3-1,180,0.0075,3,0.3787,0.3977,272.2,42.94,42.59,36.72,Noise,11.7,CRYPTIC
S5_CD2AP_SH3-1,181,0.0075,3,0.2977,0.0183,347.3,43.15,34.73,15.18,Noise,12.1,CRYPTIC
S5_CD2AP_SH3-1,183,0.0075,3,0.0823,0.001,271.4,39.83,26.19,15.21,Noise,10.0,CRYPTIC
S5_CD2AP_SH3-1,19,0.0075,3,0.2233,0.0007,302.8,11.93,53.36,37.19,Noise,26.5,CRYPTIC
S5_CD2AP_SH3-1,186,0.0075,3,0.129,0.0483,258.7,41.65,37.64,31.41,Noise,7.4,canonical
S5_CD2AP_SH3-1,175,0.0075,3,0.2067,0.136,265.9,22.31,31.71,51.2,Noise,16.3,CRYPTIC
S5_CD2AP_SH3-1,143,0.0075,3,0.1487,0.1097,208.7,28.66,30.13,46.21,Noise,10.5,CRYPTIC
S5_CD2AP_SH3-1,36,0.0075,3,0.1207,0.1523,304.9,29.62,35.28,10.25,Noise,11.7,CRYPTIC
S5_CD2AP_SH3-1,90,0.0075,3,0.1243,0.1777,252.3,13.4,25.66,27.87,Noise,7.3,canonical
S5_CD2AP_SH3-1,51,0.0075,3,0.2697,0.237,258.8,33.14,13.75,42.25,Noise,14.9,CRYPTIC
S5_CD2AP_SH3-1,102,0.0075,3,0.1063,0.0033,213.8,33.82,18.25,19.16,Noise,11.5,CRYPTIC
S5_CD2AP_SH3-1,59,0.0075,3,0.1143,0.0507,222.2,12.26,23.0,34.75,Noise,13.1,CRYPTIC
S5_CD2AP_SH3-1,119,0.0075,3,0.142,0.033,290.2,50.44,16.92,41.89,Noise,22.2,CRYPTIC
S5_CD2AP_SH3-1,120,0.0075,3,0.2603,0.0007,237.6,48.87,6.87,21.25,Noise,25.6,CRYPTIC
S5_CD2AP_SH3-1,124,0.0075,3,0.134,0.0163,166.8,48.81,13.73,28.39,Noise,19.9,CRYPTIC
S5_CD2AP_SH3-1,125,0.0075,3,0.109,0.001,225.4,38.96,13.87,35.93,Noise,16.1,CRYPTIC
S5_CD2AP_SH3-1,129,0.0075,3,0.2943,0.0003,268.5,37.54,24.53,55.69,Noise,21.9,CRYPTIC
S5_CD2AP_SH3-1,42,0.0075,3,0.266,0.0013,189.4,12.82,37.93,14.65,Noise,14.9,CRYPTIC
S5_CD2AP_SH3-1,69,0.005,2,0.2315,0.001,227.8,24.37,12.15,8.76,Noise,20.4,CRYPTIC
S5_CD2AP_SH3-1,67,0.005,2,0.1965,0.3095,337.5,17.15,10.84,15.41,Noise,19.0,CRYPTIC
S5_CD2AP_SH3-1,65,0.005,2,0.311,0.3545,286.0,28.05,16.73,12.05,Noise,14.3,CRYPTIC
S5_CD2AP_SH3-1,113,0.005,2,0.2975,0.0,220.5,29.94,2.41,22.09,Noise,19.9,CRYPTIC
S5_CD2AP_SH3-1,62,0.005,2,0.11,0.003,241.8,21.02,10.83,30.76,Noise,11.5,CRYPTIC
S5_CD2AP_SH3-1,9,0.005,2,-0.0125,0.0,234.2,11.9,33.36,26.02,Noise,7.4,canonical
S5_CD2AP_SH3-1,199,0.005,2,0.203,0.0065,292.6,41.69,38.95,19.74,Noise,11.4,CRYPTIC
S5_CD2AP_SH3-1,61,0.005,2,0.3805,0.024,243.7,9.44,17.43,26.38,Noise,15.9,CRYPTIC
S5_CD2AP_SH3-1,86,0.005,2,0.2805,0.0005,285.5,13.56,17.87,21.7,Noise,14.2,CRYPTIC
S5_CD2AP_SH3-1,8,0.005,2,0.1515,0.105,218.7,14.99,39.28,27.11,Noise,9.7,canonical
S5_CD2AP_SH3-1,101,0.005,2,0.2015,0.004,312.8,33.34,21.24,12.36,Noise,11.4,CRYPTIC
S5_CD2AP_SH3-1,72,0.005,2,0.32,0.1225,243.3,10.98,15.34,11.66,Noise,22.2,CRYPTIC
S5_CD2AP_SH3-1,185,0.005,2,0.2265,0.071,225.8,47.39,37.47,27.89,Noise,13.1,CRYPTIC
S5_CD2AP_SH3-1,204,0.005,2,0.273,0.0155,406.6,28.3,45.92,17.65,Noise,15.3,CRYPTIC
S5_CD2AP_SH3-1,182,0.005,2,0.0987,0.247,238.6,46.3,31.85,19.73,Noise,10.4,CRYPTIC
S5_CD2AP_SH3-1,114,0.005,2,0.2125,0.001,235.1,22.15,5.42,26.15,Noise,16.1,CRYPTIC
S5_CD2AP_SH3-1,130,0.005,2,0.16,0.0,237.7,35.58,31.9,55.05,Noise,20.8,CRYPTIC
S5_CD2AP_SH3-1,38,0.005,2,0.2145,0.001,236.1,12.59,29.04,4.32,Noise,22.6,CRYPTIC
S5_CD2AP_SH3-1,40,0.005,2,0.2685,0.001,145.3,16.45,36.17,8.71,Noise,18.4,CRYPTIC
S5_CD2AP_SH3-1,177,0.005,2,0.2465,0.0005,271.7,43.69,37.95,42.77,Noise,12.0,CRYPTIC
S5_CD2AP_SH3-1,41,0.005,2,0.226,0.09,276.7,21.8,37.06,5.22,Noise,18.4,CRYPTIC
S5_CD2AP_SH3-1,116,0.005,2,0.384,0.013,253.6,38.84,6.44,21.52,Noise,20.3,CRYPTIC
S5_CD2AP_SH3-1,118,0.005,2,0.316,0.1445,481.9,51.98,22.7,35.39,Noise,18.2,CRYPTIC
S5_CD2AP_SH3-1,127,0.005,2,0.218,0.3625,339.4,41.83,11.4,41.0,Noise,21.4,CRYPTIC
S5_CD2AP_SH3-1,179,0.005,2,0.3075,0.0045,309.9,45.87,52.6,38.41,Noise,22.1,CRYPTIC
S5_CD2AP_SH3-1,46,0.005,2,0.2825,0.0415,412.4,14.43,29.21,20.01,Noise,7.5,canonical
S5_CD2AP_SH3-1,134,0.005,2,0.27,0.1405,256.2,41.64,38.6,53.64,Noise,20.7,CRYPTIC
S5_CD2AP_SH3-1,11,0.0025,1,0.303,0.002,223.6,13.16,51.18,27.05,Noise,21.6,CRYPTIC
S5_CD2AP_SH3-1,201,0.0025,1,0.06,0.0,316.8,42.58,47.1,25.0,Noise,14.9,CRYPTIC
S5_CD2AP_SH3-1,73,0.0025,1,0.305,0.005,353.1,10.63,20.72,7.06,Noise,22.8,CRYPTIC
S5_CD2AP_SH3-1,25,0.0025,1,0.3185,0.36,295.1,20.68,47.07,10.57,Noise,22.3,CRYPTIC
S5_CD2AP_SH3-1,37,0.0025,1,0.178,0.002,308.2,35.74,40.14,6.29,Noise,19.0,CRYPTIC
S5_CD2AP_SH3-1,164,0.0025,1,0.304,0.02,403.5,38.42,17.73,50.88,Noise,20.1,CRYPTIC
S5_CD2AP_SH3-1,132,0.0025,1,0.174,0.0,217.9,44.84,30.77,50.02,Noise,17.7,CRYPTIC
S5_CD2AP_SH3-1,123,0.0025,1,0.1435,0.0725,348.4,45.5,17.93,32.98,Noise,16.6,CRYPTIC
S5_CD2AP_SH3-1,117,0.0025,1,0.122,0.001,219.7,32.76,11.03,18.57,Noise,15.5,CRYPTIC
S5_CD2AP_SH3-1,58,0.0025,1,0.313,0.0,325.7,5.7,22.66,38.65,Noise,19.7,CRYPTIC
S5_CD2AP_SH3-1,56,0.0025,1,0.219,0.0,288.8,21.5,8.72,47.3,Noise,21.2,CRYPTIC
S5_CD2AP_SH3-1,55,0.0025,1,0.1695,0.0025,221.7,32.84,1.54,43.81,Noise,25.3,CRYPTIC
S5_CD2AP_SH3-1,178,0.0025,1,0.386,0.011,279.9,50.86,35.79,45.76,Noise,18.3,CRYPTIC
S5_CD2AP_SH3-1,103,0.0025,1,0.243,0.002,400.0,39.6,12.34,10.35,Noise,21.6,CRYPTIC
