pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,PAINS_detail,Brenk_alert,pass_admet
S1_site1813,CHEMBL1201151,MESTRANOL,-22.71,2.75,101,0.987,3.73,4.48,310.19,3.92,29.5,1.0,2.0,23,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,1,0,0.298,0,,1,1
S1_site1813,CHEMBL1200430,ESTRADIOL ACETATE,-22.63,3.45,101,0.984,3.81,4.57,314.19,3.83,46.5,1.0,3.0,23,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1,0,0.033,0,,1,1
S1_site680,CHEMBL277100,TEMAFLOXACIN,-22.55,4.0,101,0.752,3.55,4.26,417.13,2.9,74.6,2.0,4.0,30,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,3,0,-0.524,0,,0,1
S1_site1813,CHEMBL1628385,PROCAINE BENZYLPENICILLIN,-22.55,4.61,101,0.98,4.05,4.87,334.1,0.86,86.7,2.0,4.0,23,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,4,0,-1.013,0,,0,0
S1_site680,CHEMBL473417,VISMODEGIB,-22.4,3.19,101,0.83,2.38,2.85,420.01,4.71,76.1,1.0,4.0,27,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,4,0,-0.271,0,,0,0
S1_site688,CHEMBL1479,DANAZOL,-22.23,2.19,101,0.889,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0,0,0.095,0,,1,1
S3_site473,CHEMBL277100,TEMAFLOXACIN,-22.2,6.09,101,0.74,3.55,4.26,417.13,2.9,74.6,2.0,4.0,30,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,3,0,-0.524,0,,0,1
S3_site473,CHEMBL1095,ETHOTOIN,-22.14,3.05,101,1.476,4.83,5.8,204.09,1.3,49.4,1.0,2.0,15,CCN1C(=O)NC(c2ccccc2)C1=O,2,0,-0.395,0,,1,1
S3_site473,CHEMBL1454910,NITROXOLINE,-22.13,2.37,101,1.581,4.56,5.47,190.04,1.85,76.3,1.0,4.0,14,O=[N+]([O-])c1ccc(O)c2ncccc12,1,0,-0.709,0,,1,1
S1_site1813,CHEMBL5315125,DUVELISIB MONOHYDRATE,-22.06,4.29,101,0.735,2.06,2.47,416.12,4.48,88.5,2.0,5.0,30,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,4,0,-0.49,0,,0,0
S1_site1813,CHEMBL976,PRAZIQUANTEL,-21.97,2.89,101,0.955,4.82,5.79,312.18,2.53,40.6,0.0,2.0,23,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,1,0,-0.077,0,,0,1
S3_site473,CHEMBL1266,TETRAHYDROZOLINE,-21.92,3.9,101,1.462,4.8,5.76,200.13,2.11,24.4,1.0,2.0,15,c1ccc2c(c1)CCCC2C1=NCCN1,1,0,0.099,0,,0,1
S1_site680,CHEMBL4279047,VORASIDENIB,-21.83,2.52,101,0.809,2.43,2.91,414.08,4.31,75.6,2.0,6.0,27,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,5,0,-0.325,0,,1,0
S1_site688,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-21.78,3.22,101,0.778,3.45,4.14,412.11,3.81,48.5,1.0,5.0,28,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4,0,0.0,0,,0,1
S1_site680,CHEMBL408,TROGLITAZONE,-21.75,3.45,101,0.702,2.03,2.44,441.16,4.37,84.9,2.0,6.0,31,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,5,0,-0.453,0,,1,0
S1_site1813,CHEMBL1627367,FLUOROESTRADIOL,-21.71,2.5,101,1.034,3.7,4.44,290.17,3.56,40.5,2.0,2.0,21,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O,0,0,0.081,0,,0,1
