pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles
S1_site1813,CHEMBL4585668,BELZUTIFAN,-26.71,3.35,101,1.027,3.64,4.36,383.04,3.29,87.4,1.0,5.0,26,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F
S1_site1813,CHEMBL1405,ESTRONE,-20.52,2.47,101,1.026,3.82,4.58,270.16,3.82,37.3,1.0,2.0,20,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
S1_site1813,CHEMBL654,MIRTAZAPINE,-20.13,3.32,101,1.007,4.84,5.81,265.16,2.48,19.4,0.0,3.0,20,CN1CCN2c3ncccc3Cc3ccccc3C2C1
S1_site1813,CHEMBL1201151,MESTRANOL,-22.71,2.75,101,0.987,3.73,4.48,310.19,3.92,29.5,1.0,2.0,23,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
S1_site1813,CHEMBL1200430,ESTRADIOL ACETATE,-22.63,3.45,101,0.984,3.81,4.57,314.19,3.83,46.5,1.0,3.0,23,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
S1_site1813,CHEMBL1628385,PROCAINE BENZYLPENICILLIN,-22.55,4.61,101,0.98,4.05,4.87,334.1,0.86,86.7,2.0,4.0,23,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
S1_site1813,CHEMBL4594261,FLUOROESTRADIOL F-18,-20.44,3.05,101,0.973,3.7,4.44,289.17,3.56,40.5,2.0,2.0,21,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O
S1_site1813,CHEMBL1571,TESTOLACTONE,-21.38,3.28,101,0.972,4.17,5.01,300.17,3.59,43.4,0.0,3.0,22,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12
S1_site1813,CHEMBL976,PRAZIQUANTEL,-21.97,2.89,101,0.955,4.82,5.79,312.18,2.53,40.6,0.0,2.0,23,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
S1_site1813,CHEMBL691,ETHINYL ESTRADIOL,-19.33,3.11,101,0.879,3.66,4.39,296.18,3.61,40.5,2.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
S1_site1813,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-24.58,3.37,101,0.878,3.45,4.14,412.11,3.81,48.5,1.0,5.0,28,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
S1_site1813,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-25.76,2.87,101,0.859,3.76,4.51,403.18,3.72,48.0,0.0,5.0,30,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
S1_site1813,CHEMBL1387,NORETHYNODREL,-18.79,3.07,101,0.854,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
S3_site473,CHEMBL1200596,CHLOROXINE,-26.28,2.26,101,2.021,4.29,5.15,212.97,3.25,33.1,1.0,2.0,13,Oc1c(Cl)cc(Cl)c2cccnc12
S3_site473,CHEMBL1177,PEMOLINE,-24.62,3.71,101,1.894,4.75,5.71,176.06,0.6,64.7,1.0,3.0,13,NC1=NC(=O)C(c2ccccc2)O1
S3_site473,CHEMBL1770,LEVAMISOLE HYDROCHLORIDE,-26.34,3.21,101,1.881,4.95,5.94,204.07,2.15,15.6,0.0,3.0,14,c1ccc([C@H]2CN3CCSC3=N2)cc1
S3_site473,CHEMBL95,TACRINE,-27.15,2.88,101,1.81,4.6,5.52,198.12,2.7,38.9,1.0,2.0,15,Nc1c2c(nc3ccccc13)CCCC2
S3_site473,CHEMBL857,BIOTIN,-28.61,3.77,101,1.788,3.86,4.63,244.09,0.8,78.4,3.0,3.0,16,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
S3_site473,CHEMBL175,DEXIBUPROFEN,-26.69,3.57,101,1.78,4.44,5.33,206.13,3.07,37.3,1.0,1.0,15,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
S3_site473,CHEMBL1371,CHLORZOXAZONE,-19.36,2.33,101,1.76,4.83,5.8,168.99,1.77,46.0,1.0,2.0,11,O=c1[nH]c2cc(Cl)ccc2o1
S3_site473,CHEMBL341812,IBUFENAC,-24.39,2.89,101,1.742,4.66,5.6,192.12,2.51,37.3,1.0,1.0,14,CC(C)Cc1ccc(CC(=O)O)cc1
S3_site473,CHEMBL1454910,NITROXOLINE,-22.13,2.37,101,1.581,4.56,5.47,190.04,1.85,76.3,1.0,4.0,14,O=[N+]([O-])c1ccc(O)c2ncccc12
S3_site473,CHEMBL918,PHENACEMIDE,-19.32,2.47,101,1.486,4.3,5.16,178.07,0.42,72.2,2.0,2.0,13,NC(=O)NC(=O)Cc1ccccc1
S3_site473,CHEMBL1095,ETHOTOIN,-22.14,3.05,101,1.476,4.83,5.8,204.09,1.3,49.4,1.0,2.0,15,CCN1C(=O)NC(c2ccccc2)C1=O
S3_site473,CHEMBL1266,TETRAHYDROZOLINE,-21.92,3.9,101,1.462,4.8,5.76,200.13,2.11,24.4,1.0,2.0,15,c1ccc2c(c1)CCCC2C1=NCCN1
S3_site473,CHEMBL797,PHENSUXIMIDE,-20.08,3.19,101,1.435,5.0,6.0,189.08,1.16,37.4,0.0,2.0,14,CN1C(=O)CC(c2ccccc2)C1=O
S3_site473,CHEMBL595,PIOGLITAZONE,-33.08,2.93,101,1.323,4.23,5.07,356.12,3.16,68.3,1.0,5.0,25,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
S3_site473,CHEMBL1387,NORETHYNODREL,-29.02,4.1,101,1.319,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
S3_site473,CHEMBL2359966,QUININE SULFATE,-30.89,4.16,101,1.287,4.36,5.23,324.18,3.17,45.6,1.0,4.0,24,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
S3_site473,CHEMBL799,CILOSTAZOL,-34.19,3.66,101,1.266,3.69,4.42,369.22,3.46,81.9,1.0,5.0,27,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
S3_site473,CHEMBL1201168,ISOCARBOXAZID,-21.06,2.76,101,1.239,4.38,5.26,231.1,1.42,67.2,2.0,4.0,17,Cc1cc(C(=O)NNCc2ccccc2)no1
S3_site473,CHEMBL1256841,NIALAMIDE,-27.02,3.54,101,1.228,3.78,4.54,298.14,1.02,83.1,3.0,4.0,22,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
S3_site473,CHEMBL1201754,RUFINAMIDE,-20.2,3.79,101,1.188,4.6,5.52,238.07,0.7,73.8,1.0,3.0,17,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
