pocket,chembl_id,name,dG_mean,dG_sd,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,Brenk_alert,smiles
S1_site688,CHEMBL3188267,CAPMATINIB,-20.86,2.45,0.673,3.35,4.02,412.14,3.43,85.1,1.0,5.0,4,0,-0.599,0,0,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F
S1_site688,CHEMBL1678,DONEPEZIL HYDROCHLORIDE,-20.59,3.08,0.736,3.4,4.08,379.21,4.36,38.8,0.0,4.0,6,0,0.227,0,0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
S1_site688,CHEMBL3137320,TALAZOPARIB,-20.0,2.88,0.714,3.67,4.41,380.12,2.63,88.5,2.0,5.0,2,0,-0.771,0,0,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1
S3_site473,CHEMBL3233142,LUMATEPERONE TOSYLATE,-34.24,3.18,1.181,3.66,4.4,393.22,3.92,26.8,0.0,4.0,5,0,0.338,0,0,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12
S3_site473,CHEMBL799,CILOSTAZOL,-34.19,3.66,1.266,3.69,4.42,369.22,3.46,81.9,1.0,5.0,7,0,-0.547,0,1,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
S3_site473,CHEMBL595,PIOGLITAZONE,-33.08,2.93,1.323,4.23,5.07,356.12,3.16,68.3,1.0,5.0,7,0,-0.392,0,1,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
S3_site473,CHEMBL2359966,QUININE SULFATE,-30.89,4.16,1.287,4.36,5.23,324.18,3.17,45.6,1.0,4.0,4,0,-0.054,0,1,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
S3_site473,CHEMBL1387,NORETHYNODREL,-29.02,4.1,1.319,3.97,4.76,298.19,3.64,37.3,1.0,2.0,0,0,0.14,0,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
S3_site473,CHEMBL857,BIOTIN,-28.61,3.77,1.788,3.86,4.63,244.09,0.8,78.4,3.0,3.0,5,0,-0.9,0,1,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
S3_site473,CHEMBL400599,BENFLUOREX,-28.11,3.63,1.125,3.6,4.32,351.14,4.08,38.3,1.0,3.0,7,0,0.192,0,1,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
S3_site473,CHEMBL95,TACRINE,-27.15,2.88,1.81,4.6,5.52,198.12,2.7,38.9,1.0,2.0,0,0,-0.026,0,0,Nc1c2c(nc3ccccc13)CCCC2
S3_site473,CHEMBL1256841,NIALAMIDE,-27.02,3.54,1.228,3.78,4.54,298.14,1.02,83.1,3.0,4.0,7,0,-0.936,0,1,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
S3_site473,CHEMBL1108,DROPERIDOL,-26.75,3.72,0.955,3.8,4.56,379.17,3.68,58.1,1.0,3.0,6,0,-0.162,0,0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
S3_site473,CHEMBL175,DEXIBUPROFEN,-26.69,3.57,1.78,4.44,5.33,206.13,3.07,37.3,1.0,1.0,4,0,0.054,0,0,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
S3_site473,CHEMBL1770,LEVAMISOLE HYDROCHLORIDE,-26.34,3.21,1.881,4.95,5.94,204.07,2.15,15.6,0.0,3.0,1,0,0.235,0,0,c1ccc([C@H]2CN3CCSC3=N2)cc1
S3_site473,CHEMBL1200596,CHLOROXINE,-26.28,2.26,2.021,4.29,5.15,212.97,3.25,33.1,1.0,2.0,0,0,0.143,0,0,Oc1c(Cl)cc(Cl)c2cccnc12
S3_site473,CHEMBL1177,PEMOLINE,-24.62,3.71,1.894,4.75,5.71,176.06,0.6,64.7,1.0,3.0,1,0,-0.727,0,0,NC1=NC(=O)C(c2ccccc2)O1
S3_site473,CHEMBL341812,IBUFENAC,-24.39,2.89,1.742,4.66,5.6,192.12,2.51,37.3,1.0,1.0,4,0,-0.032,0,0,CC(C)Cc1ccc(CC(=O)O)cc1
S3_site473,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-23.03,2.58,0.768,3.76,4.51,403.18,3.72,48.0,0.0,5.0,3,0,-0.006,0,0,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341
S3_site473,CHEMBL3989939,LAROTRECTINIB SULFATE,-22.86,4.09,0.737,3.26,3.92,428.18,2.95,86.0,2.0,5.0,3,0,-0.685,0,0,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
S3_site473,CHEMBL277100,TEMAFLOXACIN,-22.2,6.09,0.74,3.55,4.26,417.13,2.9,74.6,2.0,4.0,3,0,-0.524,0,0,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
S3_site473,CHEMBL1095,ETHOTOIN,-22.14,3.05,1.476,4.83,5.8,204.09,1.3,49.4,1.0,2.0,2,0,-0.395,0,1,CCN1C(=O)NC(c2ccccc2)C1=O
S3_site473,CHEMBL1454910,NITROXOLINE,-22.13,2.37,1.581,4.56,5.47,190.04,1.85,76.3,1.0,4.0,1,0,-0.709,0,1,O=[N+]([O-])c1ccc(O)c2ncccc12
S3_site473,CHEMBL1266,TETRAHYDROZOLINE,-21.92,3.9,1.462,4.8,5.76,200.13,2.11,24.4,1.0,2.0,1,0,0.099,0,0,c1ccc2c(c1)CCCC2C1=NCCN1
S3_site473,CHEMBL1201168,ISOCARBOXAZID,-21.06,2.76,1.239,4.38,5.26,231.1,1.42,67.2,2.0,4.0,4,0,-0.64,0,1,Cc1cc(C(=O)NNCc2ccccc2)no1
S3_site473,CHEMBL1201754,RUFINAMIDE,-20.2,3.79,1.188,4.6,5.52,238.07,0.7,73.8,1.0,3.0,3,0,-0.847,0,0,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
S3_site473,CHEMBL797,PHENSUXIMIDE,-20.08,3.19,1.435,5.0,6.0,189.08,1.16,37.4,0.0,2.0,1,0,-0.238,0,1,CN1C(=O)CC(c2ccccc2)C1=O
