chembl_id,receptor_id,receptor_label,vina_score
CHEMBL494753,AChE,AChE catalytic gorge,-7.831
CHEMBL231068,AChE,AChE catalytic gorge,-8.714
CHEMBL3707377,AChE,AChE catalytic gorge,-7.615
CHEMBL1479,AChE,AChE catalytic gorge,-7.896
CHEMBL1201731,AChE,AChE catalytic gorge,-8.591
CHEMBL1531,AChE,AChE catalytic gorge,-7.402
CHEMBL1200624,AChE,AChE catalytic gorge,-7.584
CHEMBL4297147,AChE,AChE catalytic gorge,-7.553
CHEMBL3188267,AChE,AChE catalytic gorge,-9.355
CHEMBL1678,AChE,AChE catalytic gorge,-8.037
CHEMBL3137320,AChE,AChE catalytic gorge,-7.89
CHEMBL3233142,AChE,AChE catalytic gorge,-7.863
CHEMBL799,AChE,AChE catalytic gorge,-7.947
CHEMBL595,AChE,AChE catalytic gorge,-7.947
CHEMBL2359966,AChE,AChE catalytic gorge,-6.826
CHEMBL1387,AChE,AChE catalytic gorge,-7.501
CHEMBL857,AChE,AChE catalytic gorge,-6.172
CHEMBL400599,AChE,AChE catalytic gorge,-5.971
CHEMBL95,AChE,AChE catalytic gorge,-6.73
CHEMBL1256841,AChE,AChE catalytic gorge,-6.834
CHEMBL1108,AChE,AChE catalytic gorge,-8.384
CHEMBL175,AChE,AChE catalytic gorge,-6.155
CHEMBL1770,AChE,AChE catalytic gorge,-6.35
CHEMBL1200596,AChE,AChE catalytic gorge,-6.294
CHEMBL1177,AChE,AChE catalytic gorge,-6.511
CHEMBL341812,AChE,AChE catalytic gorge,-5.965
CHEMBL1095,AChE,AChE catalytic gorge,-7.045
CHEMBL1454910,AChE,AChE catalytic gorge,-6.65
CHEMBL1266,AChE,AChE catalytic gorge,-6.196
CHEMBL1201168,AChE,AChE catalytic gorge,-7.112
CHEMBL1201754,AChE,AChE catalytic gorge,-7.108
CHEMBL797,AChE,AChE catalytic gorge,-5.958
