system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S3_PICALM_ANTH,79,3,Tier2,0.068,0.1409,0.0545,288.0,45.06,43.53,56.62,"1,2,3"
S3_PICALM_ANTH,70,3,Tier2,0.0678,0.0957,0.0715,312.1,50.93,43.27,61.76,"1,2,3"
S3_PICALM_ANTH,9,3,Tier2,0.0674,0.0919,0.0391,315.2,49.95,51.78,33.78,"1,2,3"
S3_PICALM_ANTH,25,3,Tier2,0.0674,0.1002,0.0653,319.4,42.1,53.92,59.81,"1,2,3"
S3_PICALM_ANTH,78,3,Tier2,0.0673,0.1365,0.0627,301.8,39.4,36.48,47.84,"1,2,3"
S3_PICALM_ANTH,26,3,Tier2,0.0671,0.1497,0.079,301.5,42.95,54.33,54.78,"1,2,3"
S3_PICALM_ANTH,55,3,Tier2,0.0671,0.1744,0.0591,251.4,49.09,45.95,40.04,"1,2,3"
S3_PICALM_ANTH,60,3,Tier2,0.0668,0.0986,0.0791,325.4,59.78,40.78,41.08,"1,2,3"
S3_PICALM_ANTH,54,3,Tier2,0.0667,0.1223,0.1032,349.0,45.99,39.64,33.95,"1,2,3"
S3_PICALM_ANTH,45,3,Tier2,0.066,0.0888,0.0724,339.8,64.86,48.56,50.02,"1,2,3"
S3_PICALM_ANTH,50,3,Tier2,0.066,0.1209,0.0603,307.6,37.43,38.41,39.59,"1,2,3"
S3_PICALM_ANTH,29,3,Tier2,0.0659,0.0958,0.0603,321.9,53.32,59.49,55.74,"1,2,3"
S3_PICALM_ANTH,48,3,Tier2,0.0659,0.1185,0.0628,323.3,40.03,44.13,36.17,"1,2,3"
S3_PICALM_ANTH,77,3,Tier2,0.0656,0.1163,0.0375,311.2,34.98,40.68,45.3,"1,2,3"
S3_PICALM_ANTH,74,3,Tier2,0.0655,0.1093,0.0471,318.9,38.0,43.27,57.85,"1,2,3"
S3_PICALM_ANTH,80,3,Tier2,0.0655,0.1136,0.0674,323.5,46.41,37.41,58.11,"1,2,3"
S3_PICALM_ANTH,3,3,Tier2,0.0654,0.1063,0.0572,323.2,48.05,61.72,41.84,"1,2,3"
S3_PICALM_ANTH,10,3,Tier2,0.0654,0.1417,0.062,297.5,48.52,54.97,38.68,"1,2,3"
S3_PICALM_ANTH,11,3,Tier2,0.0651,0.1197,0.0382,321.1,33.86,45.79,50.11,"1,2,3"
S3_PICALM_ANTH,28,3,Tier2,0.0651,0.0709,0.0559,330.5,51.36,57.82,61.72,"1,2,3"
S3_PICALM_ANTH,39,3,Tier2,0.0651,0.0936,0.0834,331.5,60.6,45.5,36.64,"1,2,3"
S3_PICALM_ANTH,7,3,Tier2,0.0641,0.1078,0.0931,334.6,40.25,49.33,32.95,"1,2,3"
S3_PICALM_ANTH,5,3,Tier2,0.0638,0.1131,0.0653,325.0,39.31,59.73,43.97,"1,2,3"
S3_PICALM_ANTH,37,3,Tier2,0.0634,0.0835,0.0448,318.6,63.64,50.41,43.3,"1,2,3"
S3_PICALM_ANTH,64,3,Tier2,0.0633,0.106,0.0971,339.8,58.03,34.88,43.82,"1,2,3"
S3_PICALM_ANTH,13,3,Tier2,0.063,0.1086,0.0438,307.0,32.62,45.92,41.62,"1,2,3"
S3_PICALM_ANTH,81,3,Tier2,0.0625,0.1132,0.0638,321.0,45.88,33.01,50.81,"1,2,3"
S3_PICALM_ANTH,51,3,Tier2,0.0622,0.1108,0.0906,335.8,55.11,37.37,36.66,"1,2,3"
S3_PICALM_ANTH,0,3,Tier2,0.062,0.091,0.0457,318.6,55.84,57.75,38.82,"1,2,3"
S3_PICALM_ANTH,23,3,Tier2,0.0616,0.0976,0.0598,336.3,36.47,56.02,58.12,"1,2,3"
S3_PICALM_ANTH,68,3,Tier2,0.0614,0.065,0.0592,337.0,49.1,51.1,63.61,"1,2,3"
S3_PICALM_ANTH,38,3,Tier2,0.0612,0.0853,0.0445,321.7,63.13,56.63,41.41,"1,2,3"
S3_PICALM_ANTH,53,3,Tier2,0.0612,0.0985,0.0854,348.7,48.35,44.88,33.03,"1,2,3"
S3_PICALM_ANTH,52,3,Tier2,0.0611,0.1108,0.0861,322.3,49.22,32.65,36.49,"1,2,3"
S3_PICALM_ANTH,20,3,Tier2,0.061,0.1795,0.0712,270.3,44.53,54.4,48.67,"1,2,3"
S3_PICALM_ANTH,57,3,Tier2,0.0607,0.0708,0.0656,333.8,59.0,44.16,61.95,"1,2,3"
S3_PICALM_ANTH,56,3,Tier2,0.0604,0.0965,0.0642,324.0,54.17,44.27,33.26,"1,2,3"
S3_PICALM_ANTH,63,3,Tier2,0.0604,0.0993,0.0557,311.3,52.97,34.61,46.8,"1,2,3"
S3_PICALM_ANTH,27,3,Tier2,0.0601,0.067,0.0653,339.8,56.56,53.43,61.89,"1,2,3"
S3_PICALM_ANTH,85,3,Tier2,0.0601,0.2248,0.0571,178.4,46.24,44.82,47.13,"1,2,3"
S3_PICALM_ANTH,32,3,Tier2,0.0596,0.0988,0.0521,315.0,55.74,62.01,47.44,"1,2,3"
S3_PICALM_ANTH,49,3,Tier2,0.0596,0.1134,0.0604,316.4,42.17,33.23,37.34,"1,2,3"
S3_PICALM_ANTH,46,3,Tier2,0.0594,0.0891,0.0588,315.9,62.12,51.3,57.01,"1,2,3"
S3_PICALM_ANTH,40,3,Tier2,0.0586,0.0867,0.0677,329.3,61.16,53.18,36.28,"1,2,3"
S3_PICALM_ANTH,24,3,Tier2,0.0582,0.0918,0.0644,341.7,43.88,59.15,58.9,"1,2,3"
S3_PICALM_ANTH,84,3,Tier2,0.058,0.1189,0.115,337.5,46.34,30.86,43.74,"1,2,3"
S3_PICALM_ANTH,15,3,Tier2,0.0578,0.0973,0.0418,314.0,35.09,62.26,49.33,"1,2,3"
S3_PICALM_ANTH,18,3,Tier2,0.0574,0.1068,0.067,331.4,43.76,62.78,53.5,"1,2,3"
S3_PICALM_ANTH,69,3,Tier2,0.0551,0.1252,0.045,284.8,50.74,46.78,57.59,"1,2,3"
S3_PICALM_ANTH,35,2,Tier2,0.0912,0.2265,0.072,209.3,52.84,50.73,49.58,"1,2"
S3_PICALM_ANTH,41,2,Tier2,0.0751,0.1172,0.055,303.4,56.04,49.82,39.73,"2,3"
S3_PICALM_ANTH,4,2,Tier2,0.0613,0.0952,0.036,307.3,36.55,62.01,38.17,"1,2"
S3_PICALM_ANTH,58,2,Tier2,0.0604,0.0824,0.0654,334.8,53.38,35.45,60.7,"1,3"
S3_PICALM_ANTH,76,2,Tier2,0.0604,0.1091,0.0628,335.1,36.77,37.63,54.51,"1,3"
S3_PICALM_ANTH,66,2,Tier2,0.0588,0.0935,0.0784,351.8,64.24,40.71,50.94,"2,3"
S3_PICALM_ANTH,82,2,Tier2,0.0578,0.0952,0.0785,345.8,48.9,31.81,55.86,"1,3"
S3_PICALM_ANTH,31,2,Tier2,0.0577,0.0924,0.0591,346.0,51.43,66.34,49.14,"2,3"
S3_PICALM_ANTH,59,2,Tier2,0.0562,0.0743,0.0313,309.1,58.9,34.9,59.82,"2,3"
S3_PICALM_ANTH,71,2,Tier2,0.0541,0.0628,0.0498,322.6,40.33,42.63,64.4,"1,3"
S3_PICALM_ANTH,1,2,Tier2,0.0531,0.0801,0.0296,315.9,58.18,61.5,34.6,"1,2"
S3_PICALM_ANTH,22,2,Tier2,0.051,0.0628,0.0303,299.4,37.27,61.4,60.82,"2,3"
S3_PICALM_ANTH,42,1,Tier2,0.0604,0.0686,0.0184,300.0,72.0,50.23,55.62,3
S3_PICALM_ANTH,2,1,Tier2,0.0548,0.1017,0.072,323.2,52.49,65.26,42.39,2
S3_PICALM_ANTH,19,1,Tier2,0.052,0.0867,0.0262,300.2,40.56,67.42,57.42,2
S3_PICALM_ANTH,43,1,Tier2,0.0518,0.0529,0.0059,286.8,74.42,49.42,46.75,3
